Key,Product,Line,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312
37W,EPSdp,DP-FA1,51,51,51,51,51,51,51,51,51,51,51,51
BWI,EPSdp,DP-FA1,51,51,51,51,51,51,51,51,51,51,51,51
E2XX,EPSdp,DP-FA3,46,46,46,46,46,46,46,46,46,46,46,46
E2XX MCM,EPSdp,DP-FA3,46,46,46,46,46,46,46,46,46,46,46,46
E2XX-2,EPSdp,DP-FA3,46,46,46,46,46,46,46,46,46,46,46,46
37W,EPSdp,DP-FA5,44,44,44,44,44,44,44,44,44,44,44,44
BWI,EPSdp,DP-FA5,44,44,44,44,44,44,44,44,44,44,44,44
EP21,EPSdp,DP-FA5,50,50,50,50,50,50,50,50,50,50,50,50
41b,EPSdp,DP-FA5,44,44,44,44,44,44,44,44,44,44,44,44
MQB,EPSdp,DP-FA5,44,44,44,44,44,44,44,44,44,44,44,44
D8,EPSdp,DP-FA10,60,60,60,60,60,60,60,60,60,60,60,60
T2X,EPSdp,DP-FA10,45,45,45,45,45,45,45,45,45,45,45,45
NL-5,EPSdp,DP-FA10,45,45,45,45,45,45,45,45,45,45,45,45
UX,EPSdp,DP-FA10,45,45,45,45,45,45,45,45,45,45,45,45
BC30,EPSdp,DP-FA10,45,45,45,45,45,45,45,45,45,45,45,45
Sigma-A,EPSdp,DP-FA10,45,45,45,45,45,45,45,45,45,45,45,45
Sigma-A,EPSdp,DP-FA11,45,45,45,45,45,45,45,45,45,45,45,45
37W,EPSdp,DP-FA11,41,41,41,41,41,41,41,41,41,41,41,41
BWI,EPSdp,DP-FA11,41,41,41,41,41,41,41,41,41,41,41,41
HC,EPSdp,DP-FA11,41,41,41,41,41,41,41,41,41,41,41,41
ST,EPSdp,DP-FA11,41,41,41,41,41,41,41,41,41,41,41,41
E2 Series,EPSdp,DP-FA11,41,41,41,41,41,41,41,41,41,41,41,41
A2XX,EPSapa,APA-FA4,53,53,53,53,53,53,53,53,53,53,53,53
SGM258,EPSapa,APA-FA4,53,53,53,53,53,53,53,53,53,53,53,53
