Key,Project,EPS-Final,Plant,Product,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312
2023-0001,PF3,23M,WhP,EPSdp,0,0,0,14968.8,15903.972,17115.84,18714.78,16516.332,18941.58,17656.38,17920.98,18469.08
2023-0002,PF3,23M,WhP,EPSdp,0,0,0,0,0,0,0,0,378,378,378,378
2023-0003,PF3,23M,WhP,EPSdp,0,0,0,0,1209.6,2449.44,10251.36,8573.04,8890.56,6940.08,6667.92,5942.16
2023-0004,CC04,BC30,ShP,EPSdp,0,0,0,0,0,0,0,0,0,0,0,0
2023-0005,CC02,BC30,ShP,EPSdp,0,0,0,0,0,0,3024,4536,5670,6048,6048,6426
2023-0006,CC03,BC30,ShP,EPSdp,0,0,0,0,0,0,0,0,0,0,756,1512
2023-0007, B233 SUV-C ,BEV3,WhP,EPSdp,191.05632,374.274432,1128.212064,1805.23728,1744.00128,1805.23728,2149.628544,3469.876704,3167.615808,3287.14848,3465.467712,1906.644096
2023-0008, L232 SUV ,BEV3,WhP,EPSdp,0,0,0,0,0,0,0,0,0,0,2694.384,979.776
2023-0009, B223 CUV-C ,BEV3,WhP,EPSdp,194.638626,381.2920776,1149.36604,1839.085479,1776.701304,1839.085479,2189.934079,3534.936892,3227.008604,3348.782514,3530.445232,1942.393673
2023-0010, C223 ,BEV3,WhP,EPSdp,0,0,0,0,0,0,0,0,0,0,0,0
2023-0011, C100 Hongqi ,C100,WhP,EPSdp,1512,1512,4536,4536,6048,6048,6048,6048,6048,6048,6048,6048
2023-0012, C101 (Hongqi) ,C100,YtP,EPSdp,453.6,1814.4,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268
2023-0013, C206 (Hongqi) ,C100,YtP,EPSdp,0,0,0,0,453.6,1814.4,2268,2268,2268,2268,2268,2268
2023-0014, C095 ,C100,YtP,EPSdp,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268
