Key,Project,EPS-Final,Plant,Product,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312
2023-0001,PT026,PT025,WhP,EPSdp,0,0,0,151.2,604.8,756,1134,1512,1512,1512,1512,1512
2023-0002,X540,D8,ShP,EPSdp,0,337.365,408.051,282.744,239.0472,185.0688,192.78,192.78,192.78,192.78,192.78,192.78
2023-0003,L550,D8,ShP,EPSdp,751.842,952.9758,1488.2616,1092.42,1228.0086,1029.4452,1092.42,1092.42,1092.42,1092.42,1092.42,1092.42
2023-0004,L_551,D8,ShP,EPSdp,819.315,957.474,1195.8786,899.64,1031.373,832.167,963.9,963.9,963.9,963.9,963.9,963.9
2023-0005,VX1,VX1,ShP,EPSapa,151.2,113.4,189,226.8,241.92,140.616,0,0,0,0,0,0
2023-0006,HA1,HA1,ShP,EPSapa,226.8,226.8,302.4,340.2,340.2,378,378,415.8,453.6,453.6,491.4,529.2
2023-0007,NO_AMP_HHT_VX1 MCE,HA1,ShP,EPSapa,0,0,0,0,0,0,0,113.4,378,393.12,529.2,547.344
2023-0008,SV63,SV63,ShP,EPSapa,680.4,680.4,680.4,680.4,604.8,604.8,680.4,680.4,680.4,680.4,680.4,680.4
2023-0009,SV65,SV65,ShP,EPSapa,302.4,302.4,302.4,302.4,302.4,302.4,302.4,302.4,302.4,302.4,302.4,302.4
2023-0010,IM31,IM31,NjP,EPSapa,529.2,529.2,529.2,529.2,529.2,529.2,529.2,529.2,529.2,529.2,529.2,529.2
2023-0011,EH32 LHD,E2 series,ShP,EPSdp,1512,2268,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780
2023-0012,EH32 RHD,E2 series,ShP,EPSdp,2268,3024,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780
2023-0013,EP 21,EP21,ShP,EPSdp,756,756,756,756,756,756,756,756,756,756,756,756
2023-0014,IM31E,IM31,NjP,EPSapa,302.4,302.4,302.4,302.4,302.4,302.4,302.4,302.4,302.4,302.4,302.4,302.4
2023-0015,IP42,Sigma-A,ShP,EPSdp,1512,2268,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024
2023-0016,AS33 LHD,Sigma-A,ShP,EPSdp,4536,6804,6804,6804,6804,6804,6804,6804,6804,6804,6804,6804
2023-0017,EP33L/P11,EP33,ShP,EPSapa,378,378,378,378,378,378,378,378,378,378,378,378
2023-0018,S11L,S11L,ShP,EPSapa,378,378,378,378,378,378,378,378,378,378,378,378
